INSTITUIÇÃO;GRUPO;DATA DE CRIAÇÃO DO GRUPO;LÍDER;2º LÍDER;"ÁREA
PREDOMINANTE"
Instituto Federal do Paraná;Acessibilidade, Inclusão e Desenho Universal;15/04/2021;Ângela Maria dos Santos;Márcia Valéria Rodrigues Ferreira;Ciências Humanas
Universidade Federal da Paraíba;Complexidade & Organizações;27/03/2021;Maria Silene Alexandre Leite;-;Engenharias
Instituto Federal do Paraná;Domesticidade, Objeto e Território;16/03/2021;Leticia de Sá Rocha;-;Ciências Sociais Aplicadas
Instituto Federal do Paraná;Domesticidade, Objeto e Território [D.O.T];16/03/2021;Leticia de Sá Rocha;-;Ciências Sociais Aplicadas
Instituto Federal do Paraná;Educação, Gênero e Trabalho;26/01/2021;Patricia Daniela Maciel;Patricia Daniela Maciel;Ciências Humanas
Instituto Federal do Paraná;Engenharia de Biomoléculas e Nanomateriais;08/12/2020;Jorge Augusto de Moura Delezuk;-;Engenharias
Instituto Federal do Paraná;Ensino e Ciências Sociais;16/03/2021;Luiz Belmiro Teixeira;Luiz Belmiro Teixeira;Ciências Humanas
Instituto Federal do Paraná;ENSINO, TECNOLOGIA E INOVAÇÃO EM FÍSICA;15/12/2020;Germano Bruno Afonso;Germano Bruno Afonso;Ciências Exatas e da Terra
Universidade Federal do Paraná;Física de Plasmas e Dinâmica Não-Linear;11/06/2021;Ricardo Luiz Viana;Sergio Roberto Lopes;Ciências Exatas e da Terra
Universidade Federal da Integração Latino-Americana;Gêneros textuais/discursivos e ensino-aprendizagem de línguas;21/08/2020;André William Alves de Assis;-;Lingüística, Letras e Artes
Universidade Estadual de Maringá;GEO - Grupo de Estudos Organizacionais;11/12/2020;Priscilla Borgonhoni;Priscilla Borgonhoni Chagas;Ciências Sociais Aplicadas
Instituto Federal do Paraná;GPADES - Grupo de Pesquisa para Análise e Desenvolvimento de;29/09/2020;Miguel Batista de Oliveira;Kayla Walquiria Garmus Poletto;Engenharias
Instituto Federal do Paraná;GPCA/IFPR - Grupo de Pesquisa em Computação Aplicada;07/10/2020;Cleverton Juliano Alves Vicentini;Lauriana Paludo;Ciências Exatas e da Terra
Instituto Federal do Paraná;Grupo de Estudos e Pesquisa em Educação do IFPR Assis Chateaubriand;24/09/2020;Elenice Josefa Kolancko Setti;Elenice Josefa Kolancko Setti;Ciências Humanas
Instituto Federal do Paraná;Grupo de Estudos e Pesquisa em Educação e Movimento - IFPR (GEPEM -;12/06/2021;Guilherme da Silva Gasparotto;-;Ciências da Saúde
Instituto Federal do Paraná;Grupo de Estudos e Pesquisa em Educação Especial e Inclusiva do IFPR;06/09/2020;Loretta Derbli Durães da Luz;Loretta Derbli Durães da Luz Rosolem;Ciências Humanas
Instituto Federal do Paraná;Grupo de Estudos e Pesquisas sobre a Pedagogia Histórico-crítica - GEPPHC;01/06/2021;Vânia Maria Alves;Vânia Maria Alves;Ciências Humanas
Instituto Federal do Paraná;Grupo de Pesquisa em Sustentabilidade - SUSTENTAR IFPR;20/08/2020;Kathleen Dall Bello de Souza Risson;-;Outra
Instituto Federal do Paraná;Grupo de Pesquisas Filosofia, Ciência e Tecnologias - IFPR;16/04/2021;José Provetti Junior;Daniel Salésio Vandresen;Ciências Humanas
Universidade Estadual do Centro-Oeste;Infância, família e comunidade;15/06/2021;Cristina Ide Fujinaga;-;Ciências da Saúde
Instituto Federal do Paraná;NUSEINTEC - Núcleo de Sociedade, Educação e Inovação Tecnológica do;26/10/2020;Ayslan Trevizan Possebom;Angela Fontana Marques;Ciências Humanas
Instituto Federal do Paraná;Prática Pedagógica e Pesquisa na Educação Básica, Técnica e Tecnológica;02/11/2020;Hugo Feitosa Jurca;Hugo Feitosa Jurca;Ciências Humanas
Instituto Federal de Educação, Ciência e Tecnologia do Amazonas;RELATOS DA EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA NO BAIXO AMAZONAS;01/07/2020;Julieane Pohlmann Bulla;Vanderlei Antonio Stefanuto;Ciências Humanas
Instituto Federal do Paraná;Simulação numérica, Superfícies e Interfaces;17/04/2020;Cristiano Brunetti;Cristiano Brunetti;Engenharias
Instituto Federal do Paraná;Tecnologia e Ciência - TPD IFPR - Campus Curitiba.;15/05/2021;Andersen Ieger Celinski;Andersen Ieger Celinski;Ciências da Saúde
Universidade Tecnológica Federal do Paraná;Teoria da Informação, Codificação e Criptografia;09/06/2021;Eduardo Michel Vieira Gomes;Eduardo Michel Vieira Gomes;Engenharias
Instituto Federal do Paraná;Trabalho, Educação e Formação Profissional;02/04/2021;Carmem Waldow;Carmem Waldow;Ciências Humanas
Instituto Federal do Paraná;Trabalho, Educação e Tecnologia Social;27/10/2020;Rosangela Gonçalves de;Rosangela Gonçalves de Oliveira;Ciências Humanas
